2026-09-16 18:54:51 host worker09.cluster job 3310096 task 25 stage recon cpus 8
slice 25: 102 frames x 21 spokes, ncc 8, grid (384, 384), max|x0| 0.0001064 (2s)
  ite = 0, cost = 0.000156
  ite = 1, cost = 0.000139
  ite = 2, cost = 0.000131
  ite = 3, cost = 0.000114
  ite = 4, cost = 0.000109
  ite = 5, cost = 0.000103
  ite = 6, cost = 0.000099
  ite = 7, cost = 0.000097
  ite = 8, cost = 0.000095
  ite = 0, cost = 0.000089
  ite = 1, cost = 0.000089
  ite = 2, cost = 0.000085
  ite = 3, cost = 0.000080
  ite = 4, cost = 0.000079
  ite = 5, cost = 0.000078
  ite = 6, cost = 0.000077
  ite = 7, cost = 0.000074
  ite = 8, cost = 0.000073
  ite = 0, cost = 0.000071
  ite = 1, cost = 0.000070
  ite = 2, cost = 0.000070
  ite = 3, cost = 0.000069
  ite = 4, cost = 0.000069
  ite = 5, cost = 0.000069
  ite = 6, cost = 0.000069
  ite = 7, cost = 0.000068
  ite = 8, cost = 0.000068
SAVED slice 25 lam0.02 (192, 192, 102) finite=True (348s)
  ite = 0, cost = 0.000463
  ite = 1, cost = 0.000426
  ite = 2, cost = 0.000348
  ite = 3, cost = 0.000305
  ite = 4, cost = 0.000277
  ite = 5, cost = 0.000242
  ite = 6, cost = 0.000229
  ite = 7, cost = 0.000223
  ite = 8, cost = 0.000214
  ite = 0, cost = 0.000200
  ite = 1, cost = 0.000187
  ite = 2, cost = 0.000165
  ite = 3, cost = 0.000153
  ite = 4, cost = 0.000144
  ite = 5, cost = 0.000137
  ite = 6, cost = 0.000132
  ite = 7, cost = 0.000127
  ite = 8, cost = 0.000127
  ite = 0, cost = 0.000126
  ite = 1, cost = 0.000125
  ite = 2, cost = 0.000120
  ite = 3, cost = 0.000116
  ite = 4, cost = 0.000111
  ite = 5, cost = 0.000110
  ite = 6, cost = 0.000108
  ite = 7, cost = 0.000104
  ite = 8, cost = 0.000102
SAVED slice 25 lam0.08 (192, 192, 102) finite=True (389s)
  ite = 0, cost = 0.001423
  ite = 1, cost = 0.001148
  ite = 2, cost = 0.000992
  ite = 3, cost = 0.000912
  ite = 4, cost = 0.000776
  ite = 5, cost = 0.000702
  ite = 6, cost = 0.000663
  ite = 7, cost = 0.000636
  ite = 8, cost = 0.000598
  ite = 0, cost = 0.000528
  ite = 1, cost = 0.000498
  ite = 2, cost = 0.000429
  ite = 3, cost = 0.000416
  ite = 4, cost = 0.000400
  ite = 5, cost = 0.000385
